📦 세트구성_매핑.xlsx 내용:

             세트바코드                                      구성품명         구성품바코드  수량         등록일         수정일
155  LE100S3001001                      미니멀러그_오프화이트_원형_1500Ø  R008535120005   1  2026-04-13  2026-04-13
156  LE100S3001001                      미니멀러그_오프화이트_원형_1900Ø  LE10000001009   1  2026-04-13  2026-04-13
157  LE100S3001001                    미니멀러그_오프화이트_반원_480x800  LE10000001018   1  2026-04-13  2026-04-13
158  LE100S3001002                      미니멀러그_오프화이트_원형_1900Ø  LE10000001009   1  2026-04-13  2026-04-13
159  LE100S3001002                    미니멀러그_오프화이트_반원_480x800  LE10000001018   1  2026-04-13  2026-04-13
160  LE100S3001003                      미니멀러그_오프화이트_원형_1500Ø  R008535120005   1  2026-04-13  2026-04-13
161  LE100S3001003                    미니멀러그_오프화이트_반원_480x800  LE10000001018   1  2026-04-13  2026-04-13
162  LE100S3002001                        미니멀러그_브라운_원형_1900Ø  LE10000002009   1  2026-04-13  2026-04-13
163  LE100S3002001                        미니멀러그_브라운_원형_1500Ø  R008535120004   1  2026-04-13  2026-04-13
164  LE100S3002001                      미니멀러그_브라운_반원_480x800  LE10000002018   1  2026-04-13  2026-04-13
165  LE100S3002002                        미니멀러그_브라운_원형_1900Ø  LE10000002009   1  2026-04-13  2026-04-13
166  LE100S3002002                      미니멀러그_브라운_반원_480x800  LE10000002018   1  2026-04-13  2026-04-13
167  LE100S3002003                        미니멀러그_브라운_원형_1500Ø  R008535120004   1  2026-04-13  2026-04-13
168  LE100S3002003                      미니멀러그_브라운_반원_480x800  LE10000002018   1  2026-04-13  2026-04-13
169  LE100S3003001                        미니멀러그_그레이_원형_1900Ø  LE10000003009   1  2026-04-13  2026-04-13
170  LE100S3003001                        미니멀러그_그레이_원형_1500Ø  R008535120001   1  2026-04-13  2026-04-13
171  LE100S3003001                      미니멀러그_그레이_반원_480x800  LE10000003018   1  2026-04-13  2026-04-13
172  LE100S3003002                        미니멀러그_그레이_원형_1900Ø  LE10000003009   1  2026-04-13  2026-04-13
173  LE100S3003002                      미니멀러그_그레이_반원_480x800  LE10000003018   1  2026-04-13  2026-04-13
174  LE100S3003003                        미니멀러그_그레이_원형_1500Ø  R008535120001   1  2026-04-13  2026-04-13
175  LE100S3003003                      미니멀러그_그레이_반원_480x800  LE10000003018   1  2026-04-13  2026-04-13
176  LE100S3004001                        미니멀러그_블루문_원형_1900Ø  LE10000004009   1  2026-04-13  2026-04-13
177  LE100S3004001                        미니멀러그_블루문_원형_1500Ø  LE10000004008   1  2026-04-13  2026-04-13
178  LE100S3004001                      미니멀러그_블루문_반원_480x800  LE10000004018   1  2026-04-13  2026-04-13
179  LE100S3004002                        미니멀러그_블루문_원형_1900Ø  LE10000004009   1  2026-04-13  2026-04-13
180  LE100S3004002                      미니멀러그_블루문_반원_480x800  LE10000004018   1  2026-04-13  2026-04-13
181  LE100S3004003                        미니멀러그_블루문_원형_1500Ø  LE10000004008   1  2026-04-13  2026-04-13
182  LE100S3004003                      미니멀러그_블루문_반원_480x800  LE10000004018   1  2026-04-13  2026-04-13
